name,userName,ticker,quarter,reported,rank,epsPoints,revenuePoints,totalPoints
Analyst_4182326,Analyst_4182326,INWK,Q3 2019,7-Nov-19,6-Feb,13,12,25
Frederick Tremblay,QuantTrader007,FLR,Q2 2020,12-Nov-20,22-Nov,-3,11,8
Frederick Tremblay,QuantTrader007,MLCO,Q2 2020,20-Aug-20,24 / 25,-4,-25,-29
Frederick Tremblay,QuantTrader007,WOLF,Q4 2020,18-Aug-20,32 / 37,-4,-6,-10
Frederick Tremblay,QuantTrader007,MDP,Q4 2020,13-Aug-20,10-Sep,-6,-7,-13
Frederick Tremblay,QuantTrader007,ICON,Q2 2020,12-Aug-20,3-Mar,-6,-4,-10
Frederick Tremblay,QuantTrader007,ACIA,Q2 2020,10-Aug-20,7-Jul,-5,-9,-14
Frederick Tremblay,QuantTrader007,RAIL,Q2 2020,10-Aug-20,4-Jan,15,14,29
Frederick Tremblay,QuantTrader007,MCHX,Q2 2020,10-Aug-20,5-Jan,10,18,28
Frederick Tremblay,QuantTrader007,SPPI,Q2 2020,10-Aug-20,6-Apr,19,-25,-6
Frederick Tremblay,QuantTrader007,HZN,Q2 2020,7-Aug-20,7-Jan,15,14,29
Frederick Tremblay,QuantTrader007,USM,Q2 2020,6-Aug-20,12-Jan,16,23,39
Frederick Tremblay,QuantTrader007,FPRX,Q2 2020,6-Aug-20,4-Apr,9,-10,-1
Frederick Tremblay,QuantTrader007,GERN,Q2 2020,6-Aug-20,8-Jul,-17,-1,-18
Frederick Tremblay,QuantTrader007,FSLR,Q2 2020,6-Aug-20,22 / 33,-3,14,11
Frederick Tremblay,QuantTrader007,WCN,Q2 2020,6-Aug-20,10-Apr,11,-3,8
Frederick Tremblay,QuantTrader007,PRAH,Q2 2020,6-Aug-20,5-May,-9,-8,-17
Frederick Tremblay,QuantTrader007,PFSI,Q2 2020,6-Aug-20,7-Jul,-6,-6,-12
Frederick Tremblay,QuantTrader007,CQP,Q2 2020,6-Aug-20,2-Feb,14,-6,8
Frederick Tremblay,QuantTrader007,IBP,Q2 2020,6-Aug-20,7-Apr,-4,18,14
Frederick Tremblay,QuantTrader007,AAON,Q2 2020,6-Aug-20,3-Jan,25,19,44
Frederick Tremblay,QuantTrader007,PCRX,Q2 2020,6-Aug-20,8-Jul,-7,-15,-22
Frederick Tremblay,QuantTrader007,USPH,Q2 2020,6-Aug-20,2-Jan,18,-9,9
Frederick Tremblay,QuantTrader007,ZEUS,Q2 2020,6-Aug-20,3-Feb,-4,-4,-8
Frederick Tremblay,QuantTrader007,AAWW,Q2 2020,6-Aug-20,14 / 15,-6,-5,-11
Frederick Tremblay,QuantTrader007,XRAY,Q2 2020,6-Aug-20,5-May,-8,-19,-27
Frederick Tremblay,QuantTrader007,KOP,Q2 2020,6-Aug-20,4-Mar,-6,-5,-11
Frederick Tremblay,QuantTrader007,WTI,Q2 2020,5-Aug-20,10-Apr,19,-7,12
Frederick Tremblay,QuantTrader007,VNDA,Q2 2020,5-Aug-20,6-Jun,-8,-9,-17
Frederick Tremblay,QuantTrader007,BLDP,Q2 2020,5-Aug-20,12-Mar,-2,-1,-3
Frederick Tremblay,QuantTrader007,BNFT,Q2 2020,5-Aug-20,10-Jan,25,-5,20
Frederick Tremblay,QuantTrader007,SRDX,Q3 2020,5-Aug-20,4-Mar,-7,-4,-11
Frederick Tremblay,QuantTrader007,PTCT,Q2 2020,5-Aug-20,5-Apr,-3,8,5
Frederick Tremblay,QuantTrader007,PDCE,Q2 2020,5-Aug-20,12-Jan,25,-3,22
